Generation,Density 0,1,Density 0,3,Density 0,5,Density 0,6,Density 0,7
188,NA,98,125,62,NA
189,NA,90,125,67,NA
190,NA,94,111,80,NA
191,NA,99,134,75,NA
192,NA,98,123,79,NA
193,NA,94,149,77,NA
194,NA,89,160,83,NA
195,NA,105,159,72,NA
196,NA,94,154,80,NA
197,NA,104,151,77,NA
198,NA,106,148,78,NA
199,NA,123,166,85,NA
200,NA,105,169,94,NA
201,NA,98,159,92,NA
202,NA,81,169,96,NA
203,NA,95,162,81,NA
204,NA,95,181,89,NA
205,NA,109,165,73,NA
206,NA,111,165,74,NA
207,NA,124,158,75,NA
208,NA,131,185,83,NA
209,NA,137,156,75,NA
210,NA,150,151,80,NA
211,NA,149,134,79,NA
212,NA,154,131,66,NA
213,NA,158,142,79,NA
214,NA,139,135,71,NA
215,NA,160,139,86,NA
216,NA,142,126,71,NA
217,NA,131,151,85,NA
218,NA,137,121,75,NA
219,NA,130,119,83,NA
220,NA,122,130,77,NA
221,NA,130,133,76,NA
222,NA,126,144,59,NA
223,NA,150,131,56,NA
224,NA,135,132,56,NA
225,NA,134,117,65,NA
226,NA,153,115,65,NA
227,NA,161,115,76,NA
228,NA,136,108,74,NA
229,NA,142,106,83,NA
230,NA,156,108,79,NA
231,NA,147,99,77,NA
232,NA,154,108,89,NA
233,NA,150,97,93,NA
234,NA,152,98,95,NA
235,NA,144,87,103,NA
236,NA,158,78,103,NA
237,NA,140,77,82,NA
238,NA,150,79,88,NA
239,NA,155,76,80,NA
240,NA,154,71,86,NA
241,NA,134,66,74,NA
242,NA,150,70,75,NA
243,NA,143,57,75,NA
244,NA,147,60,76,NA
245,NA,134,58,82,NA
246,NA,122,61,81,NA
247,NA,128,66,78,NA
248,NA,128,61,79,NA
249,NA,136,69,88,NA
250,NA,117,68,83,NA
251,NA,124,84,73,NA
252,NA,123,68,82,NA
253,NA,115,72,80,NA
254,NA,136,78,94,NA
255,NA,125,70,84,NA
256,NA,144,71,101,NA
257,NA,140,63,99,NA
258,NA,142,64,101,NA
259,NA,139,61,100,NA
260,NA,143,66,94,NA
261,NA,144,66,103,NA
262,NA,135,68,90,NA
263,NA,139,71,87,NA
264,NA,143,79,87,NA
265,NA,149,75,93,NA
266,NA,150,71,92,NA
267,NA,147,65,106,NA
268,NA,141,74,92,NA
269,NA,153,74,85,NA
270,NA,156,62,94,NA
271,NA,160,57,102,NA
272,NA,145,51,90,NA
273,NA,150,49,111,NA
274,NA,147,46,102,NA
275,NA,149,38,89,NA
276,NA,158,43,85,NA
277,NA,156,47,69,NA
278,NA,184,52,73,NA
279,NA,161,48,71,NA
280,NA,179,50,80,NA
281,NA,164,52,81,NA
282,NA,168,61,83,NA
283,NA,165,57,90,NA
284,NA,174,57,84,NA
285,NA,180,60,77,NA
286,NA,173,54,79,NA
287,NA,173,62,66,NA
288,NA,162,69,61,NA
289,NA,166,78,63,NA
290,NA,157,76,57,NA
291,NA,166,81,58,NA
292,NA,167,89,62,NA
293,NA,179,86,65,NA
294,NA,182,81,71,NA
295,NA,196,87,64,NA
296,NA,174,96,63,NA
297,NA,163,82,64,NA
298,NA,176,80,72,NA
299,NA,169,72,70,NA
300,NA,174,65,82,NA
301,NA,173,61,74,NA
302,NA,164,51,67,NA
303,NA,147,54,53,NA
304,NA,141,51,53,NA
305,NA,144,54,53,NA
306,NA,150,58,53,NA
307,NA,158,69,56,NA
308,NA,157,72,59,NA
309,NA,167,95,70,NA
310,NA,144,70,74,NA
311,NA,156,78,71,NA
312,NA,143,74,69,NA
